patch,drain,uaa,dist,accDist,restored,zoneID,zoneClass,lateralInput,laterFrac,,
3544,8,60494,3.333333333,3.333333333,0,1,3,60494,0.872866316,,
3545,8,60501,3.333333333,6.666666666,0,1,3,7,0.000101003,,
3546,8,60509,3.333333333,9.999999999,0,1,3,8,0.000115432,,
1726,8,60518,3.333333333,13.33333333,0,1,3,9,0.000129861,,
1727,8,60559,3.333333333,16.66666667,0,1,3,41,0.000591588,,
1728,8,60564,3.333333333,20,0,1,3,5,7.21E-05,,
1735,8,60637,3.333333333,23.33333333,0,2,3,73,0.001053315,,
1736,8,60644,3.333333333,26.66666666,0,2,3,7,0.000101003,,
1737,8,60658,3.333333333,30,0,2,3,14,0.000202006,,
1744,8,60673,3.333333333,33.33333333,0,2,3,15,0.000216435,,
1745,8,60697,3.333333333,36.66666666,0,2,3,24,0.000346295,,
1746,8,60712,3.333333333,40,0,2,3,15,0.000216435,,
2113,8,60722,3.333333333,43.33333333,0,3,3,10,0.00014429,,
2114,8,60730,3.333333333,46.66666666,0,3,3,8,0.000115432,,
2115,8,60842,3.333333333,50,0,3,3,112,0.001616045,,
1753,8,60848,3.333333333,53.33333333,0,3,3,6,8.66E-05,,
1754,7,60851,4.714045208,58.04737854,0,3,3,3,4.33E-05,,
2928,1,60866,4.714045208,62.76142374,0,4,3,15,0.000216435,,
1762,8,60918,3.333333333,66.09475708,0,4,3,52,0.000750307,,
1763,8,60934,3.333333333,69.42809041,0,4,3,16,0.000230864,,
1764,8,60945,3.333333333,72.76142374,0,4,3,11,0.000158719,,
1771,8,60977,3.333333333,76.09475708,0,4,3,32,0.000461727,,
1772,8,61008,3.333333333,79.42809041,0,4,3,31,0.000447298,,
1773,8,61017,3.333333333,82.76142374,0,5,3,9,0.000129861,,
1780,8,61035,3.333333333,86.09475708,0,5,3,18,0.000259722,,
1781,8,61050,3.333333333,89.42809041,0,5,3,15,0.000216435,,
1782,8,61058,3.333333333,92.76142374,0,5,3,8,0.000115432,,
1789,8,61091,3.333333333,96.09475707,0,5,3,33,0.000476156,,
1790,8,61136,3.333333333,99.42809041,0,5,3,45,0.000649304,,
1791,8,61161,3.333333333,102.7614237,0,6,3,25,0.000360724,,
1798,8,61192,3.333333333,106.0947571,0,6,3,31,0.000447298,,
1799,8,61220,3.333333333,109.4280904,0,6,3,28,0.000404011,,
1800,8,61245,3.333333333,112.7614237,0,6,3,25,0.000360724,,
3220,8,61259,3.333333333,116.0947571,0,6,3,14,0.000202006,,
3221,8,61274,3.333333333,119.4280904,0,6,3,15,0.000216435,,
3222,8,61288,3.333333333,122.7614237,0,7,3,14,0.000202006,,
1636,8,61303,3.333333333,126.0947571,0,7,3,15,0.000216435,,
1637,8,61314,3.333333333,129.4280904,0,7,3,11,0.000158719,,
1638,8,61324,3.333333333,132.7614237,0,7,3,10,0.00014429,,
2500,8,68138,3.333333333,136.0947571,0,7,3,6814,0.098319025,,
2501,8,68148,3.333333333,139.4280904,0,7,3,10,0.00014429,,
2502,8,68206,3.333333333,142.7614237,0,8,3,58,0.00083688,,
2509,8,68216,3.333333333,146.0947571,0,8,3,10,0.00014429,,
2510,8,68226,3.333333333,149.4280904,0,8,3,10,0.00014429,,
2511,8,68238,3.333333333,152.7614237,0,8,3,12,0.000173148,,
475,8,68254,3.333333333,156.0947571,0,8,3,16,0.000230864,,
476,8,68276,3.333333333,159.4280904,0,8,3,22,0.000317437,,
477,8,68291,3.333333333,162.7614237,1,9,1,15,0.000216435,,
484,8,68300,3.333333333,166.0947571,1,9,1,9,0.000129861,,
485,7,68321,4.714045208,170.8088023,1,9,1,21,0.000303008,,
3252,8,68335,3.333333333,174.1421356,1,10,2,14,0.000202006,,
3169,8,68349,3.333333333,177.4754689,1,11,1,14,0.000202006,,
3170,8,68362,3.333333333,180.8088023,1,11,1,13,0.000187577,,
3171,8,68413,3.333333333,184.1421356,1,11,1,51,0.000735878,,
559,8,68444,3.333333333,187.4754689,1,12,2,31,0.000447298,,
560,7,68451,4.714045208,192.1895141,1,13,1,7,0.000101003,,
564,8,68463,3.333333333,195.5228475,1,13,1,12,0.000173148,,
3550,8,68490,3.333333333,198.8561808,1,13,1,27,0.000389582,,
3551,7,68496,4.714045208,203.570226,1,14,2,6,8.66E-05,,
3555,8,68536,3.333333333,206.9035594,1,15,1,40,0.000577159,,
2896,8,68546,3.333333333,210.2368927,1,15,1,10,0.00014429,,
2897,8,68565,3.333333333,213.570226,1,15,1,19,0.00027415,,
2898,7,68572,4.714045208,218.2842712,1,16,2,7,0.000101003,,
3061,1,68588,4.714045208,222.9983164,1,17,1,16,0.000230864,,
494,8,68599,3.333333333,226.3316498,1,17,1,11,0.000158719,,
495,8,68631,3.333333333,229.6649831,1,17,1,32,0.000461727,,
502,7,68676,4.714045208,234.3790283,1,18,2,45,0.000649304,,
3278,8,68708,3.333333333,237.7123616,1,19,1,32,0.000461727,,
3279,8,68720,3.333333333,241.045695,1,19,1,12,0.000173148,,
3070,8,68728,3.333333333,244.3790283,1,19,1,8,0.000115432,,
3071,1,68761,4.714045208,249.0930735,1,20,2,33,0.000476156,,
513,8,68766,3.333333333,252.4264069,1,21,1,5,7.21E-05,,
1294,8,68782,3.333333333,255.7597402,1,21,1,16,0.000230864,,
1295,8,68815,3.333333333,259.0930735,1,21,1,33,0.000476156,,
1296,1,68832,4.714045208,263.8071187,1,22,2,17,0.000245293,,
2191,8,68851,3.333333333,267.1404521,1,23,1,19,0.00027415,,
2192,1,68854,4.714045208,271.8544973,1,23,1,3,4.33E-05,,
2190,1,68911,4.714045208,276.5685425,1,23,1,57,0.000822451,,
1285,2,68914,3.333333333,279.9018758,1,24,2,3,4.33E-05,,
1282,1,68957,4.714045208,284.615921,1,25,1,43,0.000620446,,
1280,1,68972,4.714045208,289.3299662,1,25,1,15,0.000216435,,
1512,1,68992,4.714045208,294.0440114,1,25,1,20,0.000288579,,
1273,1,69007,4.714045208,298.7580566,1,26,2,15,0.000216435,,
1271,8,69030,3.333333333,302.09139,1,27,1,23,0.000331866,,
1272,1,69033,4.714045208,306.8054352,1,27,1,3,4.33E-05,,
385,1,69041,4.714045208,311.5194804,1,27,1,8,0.000115432,,
383,8,69052,3.333333333,314.8528137,1,28,2,11,0.000158719,,
384,8,69060,3.333333333,318.1861471,1,29,1,8,0.000115432,,
1606,1,69063,4.714045208,322.9001923,1,29,1,3,4.33E-05,,
1604,1,69072,4.714045208,327.6142375,1,29,1,9,0.000129861,,
1269,8,69081,3.333333333,330.9475708,1,30,2,9,0.000129861,,
871,8,69086,3.333333333,334.2809041,1,31,1,5,7.21E-05,,
872,1,69268,4.714045208,338.9949493,1,31,1,182,0.002626073,,
870,8,69277,3.333333333,342.3282827,1,31,1,9,0.000129861,,
1579,8,69280,3.333333333,345.661616,1,32,2,3,4.33E-05,,
1580,8,69281,3.333333333,348.9949493,1,33,1,1,1.44E-05,,
1581,8,69290,3.333333333,352.3282827,1,33,1,9,0.000129861,,
3514,7,69291,4.714045208,357.0423279,1,33,1,1,1.44E-05,,
3518,8,69301,3.333333333,360.3756612,1,34,2,10,0.00014429,,
3519,8,69305,3.333333333,363.7089946,1,34,2,4,5.77E-05,,
477,8,68291,3.333333333,367.0423279,1,35,1,15,6.73252E-05,,
484,8,68300,3.333333333,370.3756612,1,35,1,9,6.73252E-05,,
485,7,68321,4.714045208,375.0897064,1,35,1,21,6.73252E-05,,
3252,8,68335,3.333333333,378.4230398,1,36,2,14,6.73252E-05,,
3169,8,68349,3.333333333,381.7563731,1,37,1,14,6.73252E-05,,
3170,8,68362,3.333333333,385.0897064,1,37,1,13,6.73252E-05,,
3171,8,68413,3.333333333,388.4230398,1,37,1,51,6.73252E-05,,
559,8,68444,3.333333333,391.7563731,1,38,2,31,6.73252E-05,,
560,7,68451,4.714045208,396.4704183,1,39,1,7,6.73252E-05,,
564,8,68463,3.333333333,399.8037516,1,39,1,12,6.73252E-05,,
3550,8,68490,3.333333333,403.137085,1,39,1,27,6.73252E-05,,
3551,7,68496,4.714045208,407.8511302,1,40,2,6,6.73252E-05,,
3555,8,68536,3.333333333,411.1844635,1,41,1,40,6.73252E-05,,
2896,8,68546,3.333333333,414.5177968,1,41,1,10,6.73252E-05,,
2897,8,68565,3.333333333,417.8511302,1,41,1,19,6.73252E-05,,
2898,7,68572,4.714045208,422.5651754,1,42,2,7,6.73252E-05,,
3061,1,68588,4.714045208,427.2792206,1,43,1,16,6.73252E-05,,
494,8,68599,3.333333333,430.6125539,1,43,1,11,6.73252E-05,,
495,8,68631,3.333333333,433.9458873,1,43,1,32,6.73252E-05,,
502,7,68676,4.714045208,438.6599325,1,44,2,45,6.73252E-05,,
3278,8,68708,3.333333333,441.9932658,1,45,1,32,6.73252E-05,,
3279,8,68720,3.333333333,445.3265991,1,45,1,12,6.73252E-05,,
3070,8,68728,3.333333333,448.6599325,1,45,1,8,6.73252E-05,,
3071,1,68761,4.714045208,453.3739777,1,46,2,33,6.73252E-05,,
513,8,68766,3.333333333,456.707311,1,47,1,5,6.73252E-05,,
1294,8,68782,3.333333333,460.0406443,1,47,1,16,6.73252E-05,,
1295,8,68815,3.333333333,463.3739777,1,47,1,33,6.73252E-05,,
1296,1,68832,4.714045208,468.0880229,1,48,2,17,6.73252E-05,,
2191,8,68851,3.333333333,471.4213562,1,49,1,19,6.73252E-05,,
2192,1,68854,4.714045208,476.1354014,1,49,1,3,6.73252E-05,,
2190,1,68911,4.714045208,480.8494466,1,49,1,57,6.73252E-05,,
1285,2,68914,3.333333333,484.18278,1,50,2,3,6.73252E-05,,
1282,1,68957,4.714045208,488.8968252,1,51,1,43,6.73252E-05,,
1280,1,68972,4.714045208,493.6108704,1,51,1,15,6.73252E-05,,
1512,1,68992,4.714045208,498.3249156,1,51,1,20,6.73252E-05,,
1273,1,69007,4.714045208,503.0389608,1,52,2,15,6.73252E-05,,
1271,8,69030,3.333333333,506.3722941,1,53,1,23,6.73252E-05,,
1272,1,69033,4.714045208,511.0863393,1,53,1,3,6.73252E-05,,
385,1,69041,4.714045208,515.8003845,1,53,1,8,6.73252E-05,,
383,8,69052,3.333333333,519.1337179,1,54,2,11,6.73252E-05,,
384,8,69060,3.333333333,522.4670512,1,55,1,8,6.73252E-05,,
1606,1,69063,4.714045208,527.1810964,1,55,1,3,6.73252E-05,,
1604,1,69072,4.714045208,531.8951416,1,55,1,9,6.73252E-05,,
1269,8,69081,3.333333333,535.228475,1,56,2,9,6.73252E-05,,
871,8,69086,3.333333333,538.5618083,1,57,1,5,6.73252E-05,,
872,1,69268,4.714045208,543.2758535,1,57,1,182,6.73252E-05,,
870,8,69277,3.333333333,546.6091868,1,57,1,9,6.73252E-05,,
1579,8,69280,3.333333333,549.9425202,1,58,2,3,6.73252E-05,,
1580,8,69281,3.333333333,553.2758535,1,59,1,1,6.73252E-05,,
1581,8,69290,3.333333333,556.6091868,1,59,1,9,6.73252E-05,,
3514,7,69291,4.714045208,561.323232,1,59,1,1,6.73252E-05,,
3518,8,69301,3.333333333,564.6565654,1,60,2,10,6.73252E-05,,
3519,8,69305,3.333333333,567.9898987,1,60,2,4,6.73252E-05,,
477,8,68291,3.333333333,571.323232,1,61,1,15,6.73252E-05,,
484,8,68300,3.333333333,574.6565654,1,61,1,9,6.73252E-05,,
485,7,68321,4.714045208,579.3706106,1,61,1,21,6.73252E-05,,
3252,8,68335,3.333333333,582.7039439,1,62,2,14,6.73252E-05,,
3169,8,68349,3.333333333,586.0372772,1,63,1,14,6.73252E-05,,
3170,8,68362,3.333333333,589.3706106,1,63,1,13,6.73252E-05,,
3171,8,68413,3.333333333,592.7039439,1,63,1,51,6.73252E-05,,
559,8,68444,3.333333333,596.0372772,1,64,2,31,6.73252E-05,,
560,7,68451,4.714045208,600.7513224,1,65,1,7,6.73252E-05,,
564,8,68463,3.333333333,604.0846558,1,65,1,12,6.73252E-05,,
3550,8,68490,3.333333333,607.4179891,1,65,1,27,6.73252E-05,,
3551,7,68496,4.714045208,612.1320343,1,66,2,6,6.73252E-05,,
3555,8,68536,3.333333333,615.4653677,1,67,1,40,6.73252E-05,,
2896,8,68546,3.333333333,618.798701,1,67,1,10,6.73252E-05,,
2897,8,68565,3.333333333,622.1320343,1,67,1,19,6.73252E-05,,
2898,7,68572,4.714045208,626.8460795,1,68,2,7,6.73252E-05,,
3061,1,68588,4.714045208,631.5601247,1,69,1,16,6.73252E-05,,
494,8,68599,3.333333333,634.8934581,1,69,1,11,6.73252E-05,,
495,8,68631,3.333333333,638.2267914,1,69,1,32,6.73252E-05,,
502,7,68676,4.714045208,642.9408366,1,70,2,45,6.73252E-05,,
3278,8,68708,3.333333333,646.2741699,1,71,1,32,6.73252E-05,,
3279,8,68720,3.333333333,649.6075033,1,71,1,12,6.73252E-05,,
3070,8,68728,3.333333333,652.9408366,1,71,1,8,6.73252E-05,,
3071,1,68761,4.714045208,657.6548818,1,72,2,33,6.73252E-05,,
513,8,68766,3.333333333,660.9882151,1,73,1,5,6.73252E-05,,
1294,8,68782,3.333333333,664.3215485,1,73,1,16,6.73252E-05,,
1295,8,68815,3.333333333,667.6548818,1,73,1,33,6.73252E-05,,
1296,1,68832,4.714045208,672.368927,1,74,2,17,6.73252E-05,,
2191,8,68851,3.333333333,675.7022604,1,75,1,19,6.73252E-05,,
2192,1,68854,4.714045208,680.4163056,1,75,1,3,6.73252E-05,,
2190,1,68911,4.714045208,685.1303508,1,75,1,57,6.73252E-05,,
1285,2,68914,3.333333333,688.4636841,1,76,2,3,6.73252E-05,,
1282,1,68957,4.714045208,693.1777293,1,77,1,43,6.73252E-05,,
1280,1,68972,4.714045208,697.8917745,1,77,1,15,6.73252E-05,,
1512,1,68992,4.714045208,702.6058197,1,77,1,20,6.73252E-05,,
1273,1,69007,4.714045208,707.3198649,1,78,2,15,6.73252E-05,,
1271,8,69030,3.333333333,710.6531983,1,79,1,23,6.73252E-05,,
1272,1,69033,4.714045208,715.3672435,1,79,1,3,6.73252E-05,,
385,1,69041,4.714045208,720.0812887,1,79,1,8,6.73252E-05,,
383,8,69052,3.333333333,723.414622,1,80,2,11,6.73252E-05,,
384,8,69060,3.333333333,726.7479554,1,81,1,8,6.73252E-05,,
1606,1,69063,4.714045208,731.4620006,1,81,1,3,6.73252E-05,,
1604,1,69072,4.714045208,736.1760458,1,81,1,9,6.73252E-05,,
1269,8,69081,3.333333333,739.5093791,1,82,2,9,6.73252E-05,,
871,8,69086,3.333333333,742.8427124,1,83,1,5,6.73252E-05,,
872,1,69268,4.714045208,747.5567576,1,83,1,182,6.73252E-05,,
870,8,69277,3.333333333,750.890091,1,83,1,9,6.73252E-05,,
1579,8,69280,3.333333333,754.2234243,1,84,2,3,6.73252E-05,,
1580,8,69281,3.333333333,757.5567576,1,85,1,1,6.73252E-05,,
1581,8,69290,3.333333333,760.890091,1,85,1,9,6.73252E-05,,
3514,7,69291,4.714045208,765.6041362,1,85,1,1,6.73252E-05,,
3518,8,69301,3.333333333,768.9374695,1,86,2,10,6.73252E-05,,
3519,8,69305,3.333333333,772.2708028,1,86,2,4,6.73252E-05,,
477,8,68291,3.333333333,775.6041362,1,87,1,15,6.73252E-05,,
484,8,68300,3.333333333,778.9374695,1,87,1,9,6.73252E-05,,
485,7,68321,4.714045208,783.6515147,1,87,1,21,6.73252E-05,,
3252,8,68335,3.333333333,786.9848481,1,88,2,14,6.73252E-05,,
3169,8,68349,3.333333333,790.3181814,1,89,1,14,6.73252E-05,,
3170,8,68362,3.333333333,793.6515147,1,89,1,13,6.73252E-05,,
3171,8,68413,3.333333333,796.9848481,1,89,1,51,6.73252E-05,,
559,8,68444,3.333333333,800.3181814,1,90,2,31,6.73252E-05,,
560,7,68451,4.714045208,805.0322266,1,91,1,7,6.73252E-05,,
564,8,68463,3.333333333,808.3655599,1,91,1,12,6.73252E-05,,
3550,8,68490,3.333333333,811.6988933,1,91,1,27,6.73252E-05,,
3551,7,68496,4.714045208,816.4129385,1,92,2,6,6.73252E-05,,
3555,8,68536,3.333333333,819.7462718,1,93,1,40,6.73252E-05,,
2896,8,68546,3.333333333,823.0796051,1,93,1,10,6.73252E-05,,
2897,8,68565,3.333333333,826.4129385,1,93,1,19,6.73252E-05,,
2898,7,68572,4.714045208,831.1269837,1,94,2,7,6.73252E-05,,
3061,1,68588,4.714045208,835.8410289,1,95,1,16,6.73252E-05,,
494,8,68599,3.333333333,839.1743622,1,95,1,11,6.73252E-05,,
495,8,68631,3.333333333,842.5076956,1,95,1,32,6.73252E-05,,
502,7,68676,4.714045208,847.2217408,1,96,2,45,6.73252E-05,,
3278,8,68708,3.333333333,850.5550741,1,97,1,32,6.73252E-05,,
3279,8,68720,3.333333333,853.8884074,1,97,1,12,6.73252E-05,,
3070,8,68728,3.333333333,857.2217408,1,97,1,8,6.73252E-05,,
3071,1,68761,4.714045208,861.935786,1,98,2,33,6.73252E-05,,
513,8,68766,3.333333333,865.2691193,1,99,1,5,6.73252E-05,,
1294,8,68782,3.333333333,868.6024526,1,99,1,16,6.73252E-05,,
1295,8,68815,3.333333333,871.935786,1,99,1,33,6.73252E-05,,
1296,1,68832,4.714045208,876.6498312,1,100,2,17,6.73252E-05,,
2191,8,68851,3.333333333,879.9831645,1,101,1,19,6.73252E-05,,
2192,1,68854,4.714045208,884.6972097,1,101,1,3,6.73252E-05,,
2190,1,68911,4.714045208,889.4112549,1,101,1,57,6.73252E-05,,
1285,2,68914,3.333333333,892.7445883,1,102,2,3,6.73252E-05,,
1282,1,68957,4.714045208,897.4586335,1,103,1,43,6.73252E-05,,
1280,1,68972,4.714045208,902.1726787,1,103,1,15,6.73252E-05,,
1512,1,68992,4.714045208,906.8867239,1,103,1,20,6.73252E-05,,
1273,1,69007,4.714045208,911.6007691,1,104,2,15,6.73252E-05,,
1271,8,69030,3.333333333,914.9341024,1,105,1,23,6.73252E-05,,
1272,1,69033,4.714045208,919.6481476,1,105,1,3,6.73252E-05,,
385,1,69041,4.714045208,924.3621928,1,105,1,8,6.73252E-05,,
383,8,69052,3.333333333,927.6955262,1,106,2,11,6.73252E-05,,
384,8,69060,3.333333333,931.0288595,1,107,1,8,6.73252E-05,,
1606,1,69063,4.714045208,935.7429047,1,107,1,3,6.73252E-05,,
1604,1,69072,4.714045208,940.4569499,1,107,1,9,6.73252E-05,,
1269,8,69081,3.333333333,943.7902833,1,108,2,9,6.73252E-05,,
871,8,69086,3.333333333,947.1236166,1,109,1,5,6.73252E-05,,
872,1,69268,4.714045208,951.8376618,1,109,1,182,6.73252E-05,,
870,8,69277,3.333333333,955.1709951,1,109,1,9,6.73252E-05,,
1579,8,69280,3.333333333,958.5043285,1,110,2,3,6.73252E-05,,
1580,8,69281,3.333333333,961.8376618,1,111,1,1,6.73252E-05,,
1581,8,69290,3.333333333,965.1709951,1,111,1,9,6.73252E-05,,
3514,7,69291,4.714045208,969.8850403,1,111,1,1,6.73252E-05,,
3518,8,69301,3.333333333,973.2183737,1,112,2,10,6.73252E-05,,
3519,8,69305,3.333333333,976.551707,1,112,2,4,6.73252E-05,,
477,8,68291,3.333333333,979.8850403,1,113,1,15,6.73252E-05,,
484,8,68300,3.333333333,983.2183737,1,113,1,9,6.73252E-05,,
485,7,68321,4.714045208,987.9324189,1,113,1,21,6.73252E-05,,
3252,8,68335,3.333333333,991.2657522,1,114,2,14,6.73252E-05,,
3169,8,68349,3.333333333,994.5990855,1,115,1,14,6.73252E-05,,
3170,8,68362,3.333333333,997.9324189,1,115,1,13,6.73252E-05,,
3171,8,68413,3.333333333,1001.265752,1,115,1,51,6.73252E-05,,
559,8,68444,3.333333333,1004.599086,1,116,2,31,6.73252E-05,,
560,7,68451,4.714045208,1009.313131,1,117,1,7,6.73252E-05,,
564,8,68463,3.333333333,1012.646464,1,117,1,12,6.73252E-05,,
3550,8,68490,3.333333333,1015.979797,1,117,1,27,6.73252E-05,,
3551,7,68496,4.714045208,1020.693843,1,118,2,6,6.73252E-05,,
3555,8,68536,3.333333333,1024.027176,1,119,1,40,6.73252E-05,,
2896,8,68546,3.333333333,1027.360509,1,119,1,10,6.73252E-05,,
2897,8,68565,3.333333333,1030.693843,1,119,1,19,6.73252E-05,,
2898,7,68572,4.714045208,1035.407888,1,120,2,7,6.73252E-05,,
3061,1,68588,4.714045208,1040.121933,1,121,1,16,6.73252E-05,,
494,8,68599,3.333333333,1043.455266,1,121,1,11,6.73252E-05,,
495,8,68631,3.333333333,1046.7886,1,121,1,32,6.73252E-05,,
502,7,68676,4.714045208,1051.502645,1,122,2,45,6.73252E-05,,
3278,8,68708,3.333333333,1054.835978,1,123,1,32,6.73252E-05,,
3279,8,68720,3.333333333,1058.169312,1,123,1,12,6.73252E-05,,
3070,8,68728,3.333333333,1061.502645,1,123,1,8,6.73252E-05,,
3071,1,68761,4.714045208,1066.21669,1,124,2,33,6.73252E-05,,
513,8,68766,3.333333333,1069.550023,1,125,1,5,6.73252E-05,,
1294,8,68782,3.333333333,1072.883357,1,125,1,16,6.73252E-05,,
1295,8,68815,3.333333333,1076.21669,1,125,1,33,6.73252E-05,,
1296,1,68832,4.714045208,1080.930735,1,126,2,17,6.73252E-05,,
2191,8,68851,3.333333333,1084.264069,1,127,1,19,6.73252E-05,,
2192,1,68854,4.714045208,1088.978114,1,127,1,3,6.73252E-05,,
2190,1,68911,4.714045208,1093.692159,1,127,1,57,6.73252E-05,,
1285,2,68914,3.333333333,1097.025492,1,128,2,3,6.73252E-05,,
1282,1,68957,4.714045208,1101.739538,1,129,1,43,6.73252E-05,,
1280,1,68972,4.714045208,1106.453583,1,129,1,15,6.73252E-05,,
1512,1,68992,4.714045208,1111.167628,1,129,1,20,6.73252E-05,,
1273,1,69007,4.714045208,1115.881673,1,130,2,15,6.73252E-05,,
1271,8,69030,3.333333333,1119.215007,1,131,1,23,6.73252E-05,,
1272,1,69033,4.714045208,1123.929052,1,131,1,3,6.73252E-05,,
385,1,69041,4.714045208,1128.643097,1,131,1,8,6.73252E-05,,
383,8,69052,3.333333333,1131.97643,1,132,2,11,6.73252E-05,,
384,8,69060,3.333333333,1135.309764,1,133,1,8,6.73252E-05,,
1606,1,69063,4.714045208,1140.023809,1,133,1,3,6.73252E-05,,
1604,1,69072,4.714045208,1144.737854,1,133,1,9,6.73252E-05,,
1269,8,69081,3.333333333,1148.071187,1,134,2,9,6.73252E-05,,
871,8,69086,3.333333333,1151.404521,1,135,1,5,6.73252E-05,,
872,1,69268,4.714045208,1156.118566,1,135,1,182,6.73252E-05,,
870,8,69277,3.333333333,1159.451899,1,135,1,9,6.73252E-05,,
1579,8,69280,3.333333333,1162.785233,1,136,2,3,6.73252E-05,,
1580,8,69281,3.333333333,1166.118566,1,137,1,1,6.73252E-05,,
1581,8,69290,3.333333333,1169.451899,1,137,1,9,6.73252E-05,,
3514,7,69291,4.714045208,1174.165944,1,137,1,1,6.73252E-05,,
3518,8,69301,3.333333333,1177.499278,1,138,2,10,6.73252E-05,,
3519,8,69305,3.333333333,1180.832611,1,138,2,4,6.73252E-05,,