day,month,year,no3_mgNpl
1,1,2008,2.15122929
2,1,2008,2.23441059
3,1,2008,2.27322182
4,1,2008,2.2962879
5,1,2008,2.3538785
6,1,2008,2.13490276
7,1,2008,2.39224062
8,1,2008,2.41869509
9,1,2008,2.42842321
10,1,2008,2.44130967
11,1,2008,2.09682236
12,1,2008,2.45002546
13,1,2008,2.42199071
14,1,2008,2.45887969
15,1,2008,2.53900798
16,1,2008,2.57337883
17,1,2008,2.54780926
18,1,2008,2.28558779
19,1,2008,2.10521195
20,1,2008,2.51787309
21,1,2008,2.59472978
22,1,2008,2.59309809
23,1,2008,2.64350298
24,1,2008,2.62948303
25,1,2008,2.67663001
26,1,2008,2.67286416
27,1,2008,2.70004378
28,1,2008,2.69846745
29,1,2008,2.62887289
30,1,2008,2.34094538
31,1,2008,2.69641804
1,2,2008,1.70334108
2,2,2008,1.63228865
3,2,2008,1.93483517
4,2,2008,2.0829798
5,2,2008,2.24327322
6,2,2008,2.31132084
7,2,2008,2.3645112
8,2,2008,2.38490909
9,2,2008,2.41497647
10,2,2008,2.41832051
11,2,2008,2.44194981
12,2,2008,2.40447917
13,2,2008,2.3982477
14,2,2008,2.38029663
15,2,2008,2.40286317
16,2,2008,2.46880359
17,2,2008,2.52059429
18,2,2008,2.4198569
19,2,2008,2.58616831
20,2,2008,2.57791915
21,2,2008,2.59352465
22,2,2008,2.60519874
23,2,2008,2.61428624
24,2,2008,2.63048822
25,2,2008,2.64357471
26,2,2008,2.53772961
27,2,2008,2.02127112
28,2,2008,2.59742735
29,2,2008,2.64675462
1,3,2008,2.63417235
2,3,2008,2.66511504
3,3,2008,2.66317732
4,3,2008,2.65401279
5,3,2008,1.78594661
6,3,2008,2.57639026
7,3,2008,1.91544988
8,3,2008,2.12113813
9,3,2008,2.49527834
10,3,2008,2.54285207
11,3,2008,2.42656111
12,3,2008,2.57023905
13,3,2008,2.59225478
14,3,2008,2.58907402
15,3,2008,2.59806929
16,3,2008,2.31426138
17,3,2008,2.57498373
18,3,2008,2.57005382
19,3,2008,1.69172556
20,3,2008,1.94305613
21,3,2008,2.38230922
22,3,2008,2.38651387
23,3,2008,2.45791669
24,3,2008,2.48165266
25,3,2008,2.49070588
26,3,2008,2.50700291
27,3,2008,2.51266167
28,3,2008,2.51060868
29,3,2008,2.48382678
30,3,2008,2.52282526
31,3,2008,2.50335458
1,4,2008,2.49466442
2,4,2008,2.50626909
3,4,2008,1.97703404
4,4,2008,1.81001341
5,4,2008,2.37468875
6,4,2008,2.08738921
7,4,2008,2.40208418
8,4,2008,2.42368349
9,4,2008,2.44530959
10,4,2008,2.42898262
11,4,2008,2.40197998
12,4,2008,2.16056732
13,4,2008,2.41999213
14,4,2008,2.41337303
15,4,2008,2.42344485
16,4,2008,2.41160107
17,4,2008,2.41981467
18,4,2008,2.42285048
19,4,2008,2.40773548
20,4,2008,1.90665669
21,4,2008,1.63664664
22,4,2008,2.27543012
23,4,2008,2.30298037
24,4,2008,2.33303736
25,4,2008,2.33650409
26,4,2008,2.33556575
27,4,2008,1.75451293
28,4,2008,1.53157078
29,4,2008,1.91140939
30,4,2008,2.00234107
1,5,2008,2.03252918
2,5,2008,2.08865151
3,5,2008,2.10457166
4,5,2008,2.12408117
5,5,2008,2.15680669
6,5,2008,2.14304395
7,5,2008,2.17060653
8,5,2008,2.06172829
9,5,2008,1.48794024
10,5,2008,1.72665576
11,5,2008,1.52691248
12,5,2008,1.54840577
13,5,2008,1.4915192
14,5,2008,1.51848221
15,5,2008,1.63818287
16,5,2008,1.40724222
17,5,2008,1.76077552
18,5,2008,1.66305939
19,5,2008,1.84545202
20,5,2008,1.41003065
21,5,2008,1.76061022
22,5,2008,1.82847105
23,5,2008,1.82266868
24,5,2008,1.8095361
25,5,2008,1.7927526
26,5,2008,1.84132764
27,5,2008,1.9369133
28,5,2008,1.93840941
29,5,2008,2.04763407
30,5,2008,2.10541539
31,5,2008,1.70152371
1,6,2008,2.1427151
2,6,2008,2.17166441
3,6,2008,2.22009346
4,6,2008,1.5279587
5,6,2008,1.8416196
6,6,2008,2.20373926
7,6,2008,2.19839487
8,6,2008,2.20683912
9,6,2008,2.22618692
10,6,2008,2.22918012
11,6,2008,1.56174744
12,6,2008,2.21489656
13,6,2008,2.24356289
14,6,2008,1.9380221
15,6,2008,2.26150558
16,6,2008,1.90407489
17,6,2008,2.23298886
18,6,2008,2.26529114
19,6,2008,2.25935053
20,6,2008,2.26952807
21,6,2008,2.26802831
22,6,2008,2.26138505
23,6,2008,2.26549769
24,6,2008,2.2699407
25,6,2008,2.25877097
26,6,2008,2.25196511
27,6,2008,1.87966692
28,6,2008,2.27796336
29,6,2008,1.88288998
30,6,2008,2.26467645
1,7,2008,2.27172681
2,7,2008,2.22405052
3,7,2008,2.22519121
4,7,2008,2.20798565
5,7,2008,2.21730884
6,7,2008,2.17181932
7,7,2008,2.23350345
8,7,2008,2.12202485
9,7,2008,1.40756755
10,7,2008,2.28299211
11,7,2008,2.26021605
12,7,2008,2.23951153
13,7,2008,2.27192247
14,7,2008,1.60919545
15,7,2008,2.28608093
16,7,2008,2.2427547
17,7,2008,2.2699716
18,7,2008,2.18964837
19,7,2008,1.30116636
20,7,2008,2.20450547
21,7,2008,2.24025162
22,7,2008,2.28649851
23,7,2008,1.52598229
24,7,2008,1.35001206
25,7,2008,1.90531505
26,7,2008,1.99423388
27,7,2008,1.79471363
28,7,2008,2.16582004
29,7,2008,2.1593104
30,7,2008,2.2216054
31,7,2008,2.1836595
1,8,2008,2.23564462
2,8,2008,1.45224598
3,8,2008,2.2166301
4,8,2008,2.2427517
5,8,2008,2.24763941
6,8,2008,2.24726229
7,8,2008,2.19749193
8,8,2008,2.30520949
9,8,2008,2.31503163
10,8,2008,2.31471443
11,8,2008,2.31315666
12,8,2008,2.28518725
13,8,2008,2.28271464
14,8,2008,2.30306448
15,8,2008,2.27254847
16,8,2008,2.2474747
17,8,2008,2.15568354
18,8,2008,2.09971604
19,8,2008,1.99206142
20,8,2008,2.02759662
21,8,2008,1.82914706
22,8,2008,1.86433327
23,8,2008,1.71770731
24,8,2008,1.7445383
25,8,2008,1.62406764
26,8,2008,1.70340138
27,8,2008,1.55505707
28,8,2008,2.32004798
29,8,2008,1.57474958
30,8,2008,2.06438615
31,8,2008,2.10503135
1,9,2008,2.07081647
2,9,2008,1.88942959
3,9,2008,2.02402942
4,9,2008,1.7454238
5,9,2008,1.78218801
6,9,2008,1.21851455
7,9,2008,2.33436497
8,9,2008,2.33014954
9,9,2008,2.33363745
10,9,2008,2.3038548
11,9,2008,2.30666063
12,9,2008,1.8467035
13,9,2008,1.26372006
14,9,2008,2.23254474
15,9,2008,2.31626752
16,9,2008,2.30815887
17,9,2008,2.33733172
18,9,2008,2.35141946
19,9,2008,2.34488144
20,9,2008,2.34624785
21,9,2008,2.34693916
22,9,2008,2.33434787
23,9,2008,2.33494897
24,9,2008,2.29901201
25,9,2008,2.34729698
26,9,2008,1.99677636
27,9,2008,1.30608711
28,9,2008,1.40279361
29,9,2008,1.50249901
30,9,2008,1.47606941
1,10,2008,1.65491534
2,10,2008,1.74064352
3,10,2008,1.82260957
4,10,2008,1.83754141
5,10,2008,1.8875033
6,10,2008,1.89644291
7,10,2008,1.94159765
8,10,2008,1.91711506
9,10,2008,1.85753846
10,10,2008,1.84418413
11,10,2008,1.86588815
12,10,2008,2.01969252
13,10,2008,2.09165798
14,10,2008,2.14262979
15,10,2008,2.18712814
16,10,2008,2.20742407
17,10,2008,2.2610619
18,10,2008,2.23788006
19,10,2008,2.31936802
20,10,2008,2.33445593
21,10,2008,2.36736376
22,10,2008,2.35702537
23,10,2008,2.38211412
24,10,2008,2.37777746
25,10,2008,1.32324092
26,10,2008,2.31662288
27,10,2008,2.3093969
28,10,2008,1.69005288
29,10,2008,2.3530514
30,10,2008,2.36528
31,10,2008,2.39005084
1,11,2008,2.41570574
2,11,2008,2.38382038
3,11,2008,2.42333212
4,11,2008,2.43285183
5,11,2008,2.42261454
6,11,2008,2.40374935
7,11,2008,2.44520442
8,11,2008,2.444264
9,11,2008,2.48265355
10,11,2008,2.48767288
11,11,2008,2.51348884
12,11,2008,2.50945732
13,11,2008,1.48557568
14,11,2008,2.41309902
15,11,2008,1.47724545
16,11,2008,2.30085384
17,11,2008,2.37223473
18,11,2008,2.41542591
19,11,2008,2.47539971
20,11,2008,2.49730288
21,11,2008,2.47441763
22,11,2008,2.53085998
23,11,2008,2.54871304
24,11,2008,2.55959441
25,11,2008,2.21459831
26,11,2008,2.55678244
27,11,2008,2.55079028
28,11,2008,2.57955913
29,11,2008,2.59358558
30,11,2008,1.6044838
1,12,2008,2.04987811
2,12,2008,2.52956741
3,12,2008,2.55073573
4,12,2008,2.60427081
5,12,2008,2.60000692
6,12,2008,2.60086168
7,12,2008,2.6539885
8,12,2008,2.64746045
9,12,2008,2.67121211
10,12,2008,1.98378699
11,12,2008,1.53733162
12,12,2008,1.55216466
13,12,2008,1.95215705
14,12,2008,2.01571536
15,12,2008,1.89289179
16,12,2008,1.91276496
17,12,2008,1.64370258
18,12,2008,2.07674472
19,12,2008,1.59542093
20,12,2008,2.00669115
21,12,2008,2.06578626
22,12,2008,2.12349329
23,12,2008,2.16015728
24,12,2008,2.14757294
25,12,2008,2.19492917
26,12,2008,2.22943476
27,12,2008,2.13836401
28,12,2008,2.32181381
29,12,2008,2.33810551
30,12,2008,2.37825408
31,12,2008,2.39876561
1,1,2009,2.44230782
2,1,2009,2.46012264
3,1,2009,2.51935181
4,1,2009,2.54165319
5,1,2009,2.58458158
6,1,2009,2.53237776
7,1,2009,1.61913875
8,1,2009,1.78517673
9,1,2009,2.30013651
10,1,2009,2.30720996
11,1,2009,2.29535991
12,1,2009,2.43212647
13,1,2009,2.51149903
14,1,2009,2.52942037
15,1,2009,2.55787712
16,1,2009,2.57037651
17,1,2009,2.60366063
18,1,2009,2.58627951
19,1,2009,2.60934304
20,1,2009,2.58520606
21,1,2009,2.62648843
22,1,2009,2.64572557
23,1,2009,2.6933791
24,1,2009,2.71408648
25,1,2009,2.74111151
26,1,2009,2.74143507
27,1,2009,2.76389841
28,1,2009,2.68793464
29,1,2009,2.76294918
30,1,2009,2.76617221
31,1,2009,2.78710589
1,2,2009,2.79422816
2,2,2009,2.81137301
3,2,2009,2.63359091
4,2,2009,2.76686215
5,2,2009,2.80702188
6,2,2009,2.80956081
7,2,2009,2.81742828
8,2,2009,2.82543522
9,2,2009,2.43090943
10,2,2009,2.79729789
11,2,2009,2.81249967
12,2,2009,2.81462039
13,2,2009,2.81554904
14,2,2009,2.81133084
15,2,2009,2.82151742
16,2,2009,2.80162608
17,2,2009,2.80862623
18,2,2009,2.67997457
19,2,2009,2.80524211
20,2,2009,2.80876273
21,2,2009,2.79540472
22,2,2009,2.7950685
23,2,2009,2.78083031
24,2,2009,2.77985105
25,2,2009,2.76631196
26,2,2009,2.77017433
27,2,2009,2.76459243
28,2,2009,2.76241054
1,3,2009,2.74022225
2,3,2009,2.71785231
3,3,2009,2.74589583
4,3,2009,2.74718922
5,3,2009,2.72302532
6,3,2009,2.72465864
7,3,2009,2.70376578
8,3,2009,2.70613178
9,3,2009,2.68886406
10,3,2009,2.68126972
11,3,2009,2.67284117
12,3,2009,2.65103818
13,3,2009,2.65320421
14,3,2009,2.64142402
15,3,2009,2.66160453
16,3,2009,2.62327378
17,3,2009,2.67575398
18,3,2009,2.60906326
19,3,2009,2.6286602
20,3,2009,2.58997341
21,3,2009,2.58917481
22,3,2009,2.56334049
23,3,2009,2.56240116
24,3,2009,2.52733092
25,3,2009,2.53830317
26,3,2009,2.18453615
27,3,2009,2.58641935
28,3,2009,1.67116761
29,3,2009,2.09743881
30,3,2009,2.56070305
31,3,2009,2.56703609
1,4,2009,2.58050855
2,4,2009,2.58814641
3,4,2009,1.73492584
4,4,2009,2.09389363
5,4,2009,2.15869761
6,4,2009,2.00035808
7,4,2009,2.26914123
8,4,2009,2.29523472
9,4,2009,2.32280349
10,4,2009,2.32634667
11,4,2009,1.59632013
12,4,2009,2.25433757
13,4,2009,2.23358464
14,4,2009,2.06712284
15,4,2009,1.5356684
16,4,2009,2.03673709
17,4,2009,2.09918772
18,4,2009,2.14926671
19,4,2009,2.21387357
20,4,2009,1.62035778
21,4,2009,1.84435049
22,4,2009,1.94056453
23,4,2009,2.03553118
24,4,2009,2.09308206
25,4,2009,2.11002991
26,4,2009,2.15458632
27,4,2009,2.14857035
28,4,2009,2.17597159
29,4,2009,2.16548564
30,4,2009,2.20950214
1,5,2009,2.10168099
2,5,2009,2.19871383
3,5,2009,1.5162328
4,5,2009,1.45348987
5,5,2009,1.74355832
6,5,2009,1.45951334
7,5,2009,1.62402092
8,5,2009,1.93520733
9,5,2009,1.9544725
10,5,2009,2.06365759
11,5,2009,2.07047495
12,5,2009,2.12705495
13,5,2009,2.16769174
14,5,2009,1.97821681
15,5,2009,2.16771676
16,5,2009,1.92147038
17,5,2009,2.11567056
18,5,2009,2.15984693
19,5,2009,2.17419663
20,5,2009,2.26193917
21,5,2009,2.3049618
22,5,2009,2.31186144
23,5,2009,2.32652763
24,5,2009,2.3256955
25,5,2009,2.33056033
26,5,2009,1.81009816
27,5,2009,2.3251759
28,5,2009,2.19119934
29,5,2009,2.16100387
30,5,2009,2.32513005
31,5,2009,2.32446282
1,6,2009,2.29868807
2,6,2009,2.28517603
3,6,2009,1.65496645
4,6,2009,1.70888969
5,6,2009,1.4043956
6,6,2009,2.1868829
7,6,2009,2.28429896
8,6,2009,2.30758044
9,6,2009,1.82476067
10,6,2009,1.35473483
11,6,2009,2.08657197
12,6,2009,2.12422403
13,6,2009,1.98990336
14,6,2009,2.20617499
15,6,2009,2.25827781
16,6,2009,2.24437026
17,6,2009,2.10093724
18,6,2009,1.35685895
19,6,2009,2.12434247
20,6,2009,1.81512171
21,6,2009,2.13849153
22,6,2009,2.20772058
23,6,2009,2.21246088
24,6,2009,2.28188293
25,6,2009,2.30407023
26,6,2009,2.31679217
27,6,2009,2.31867309
28,6,2009,2.32397178
29,6,2009,2.32464894
30,6,2009,2.32736934
1,7,2009,2.3214099
2,7,2009,2.32081931
3,7,2009,2.3295564
4,7,2009,2.31911137
5,7,2009,2.30884712
6,7,2009,2.27216227
7,7,2009,2.20104338
8,7,2009,2.20330816
9,7,2009,2.06173006
10,7,2009,2.0843172
11,7,2009,1.96510623
12,7,2009,2.01081549
13,7,2009,1.85336577
14,7,2009,1.88079593
15,7,2009,1.6579738
16,7,2009,1.76037261
17,7,2009,1.7120461
18,7,2009,1.60218692
19,7,2009,1.72095965
20,7,2009,1.45339115
21,7,2009,1.61508621
22,7,2009,2.27871472
23,7,2009,2.10578219
24,7,2009,1.71667119
25,7,2009,2.13894532
26,7,2009,2.30375726
27,7,2009,1.84765771
28,7,2009,1.90165518
29,7,2009,1.80994082
30,7,2009,1.82131609
31,7,2009,2.34948285
1,8,2009,1.79643787
2,8,2009,2.10120293
3,8,2009,1.96531737
4,8,2009,1.93451943
5,8,2009,1.80829267
6,8,2009,1.93286263
7,8,2009,1.73390722
8,8,2009,1.96175711
9,8,2009,1.61193597
10,8,2009,2.34800813
11,8,2009,1.81644235
12,8,2009,1.80787342
13,8,2009,1.97315261
14,8,2009,1.67661881
15,8,2009,1.83340864
16,8,2009,1.57514891
17,8,2009,1.57928431
18,8,2009,1.72085135
19,8,2009,1.89237069
20,8,2009,1.84567503
21,8,2009,1.52241375
22,8,2009,2.28115473
23,8,2009,2.12064063
24,8,2009,2.08226873
25,8,2009,1.90176842
26,8,2009,1.93745483
27,8,2009,1.27730641
28,8,2009,1.49844032
29,8,2009,1.41596057
30,8,2009,2.34166344
31,8,2009,2.38117133
1,9,2009,2.38944483
2,9,2009,2.37098036
3,9,2009,2.33768573
4,9,2009,2.3381383
5,9,2009,2.31393151
6,9,2009,2.27815085
7,9,2009,2.31328909
8,9,2009,2.28674294
9,9,2009,2.35265789
10,9,2009,2.31882014
11,9,2009,1.26414779
12,9,2009,1.80631474
13,9,2009,1.98870512
14,9,2009,2.10604092
15,9,2009,2.21700628
16,9,2009,2.29772261
17,9,2009,2.29197085
18,9,2009,2.34444318
19,9,2009,2.33065458
20,9,2009,2.35407319
21,9,2009,2.3758483
22,9,2009,2.38701755
23,9,2009,2.34342283
24,9,2009,2.33489778
25,9,2009,2.24155205
26,9,2009,1.25486458
27,9,2009,1.60691049
28,9,2009,2.34941569
29,9,2009,2.40168287
30,9,2009,2.40437423
1,10,2009,2.45553822
2,10,2009,2.45839557
3,10,2009,2.46462424
4,10,2009,2.46068056
5,10,2009,2.47034776
6,10,2009,2.47040974
7,10,2009,2.47097467
8,10,2009,2.48094671
9,10,2009,2.49341383
10,10,2009,2.48992245
11,10,2009,2.48302267
12,10,2009,2.500437
13,10,2009,2.46184223
14,10,2009,2.47730859
15,10,2009,1.35505644
16,10,2009,1.59595053
17,10,2009,1.22993397
18,10,2009,1.25550606
19,10,2009,1.61087543
20,10,2009,1.70437798
21,10,2009,1.84298052
22,10,2009,1.93911799
23,10,2009,1.984654
24,10,2009,2.01094415
25,10,2009,2.01394912
26,10,2009,1.73657495
27,10,2009,1.91527
28,10,2009,1.83499428
29,10,2009,1.95673144
30,10,2009,1.94952573
31,10,2009,1.9876377
1,11,2009,1.56948659
2,11,2009,2.05879772
3,11,2009,2.12208029
4,11,2009,2.18677443
5,11,2009,2.21535531
6,11,2009,2.25927739
7,11,2009,2.25426467
8,11,2009,2.30960694
9,11,2009,2.33589666
10,11,2009,2.33223665
11,11,2009,2.2485671
12,11,2009,1.76608757
13,11,2009,1.70114269
14,11,2009,2.21693796
15,11,2009,2.3506185
16,11,2009,2.38255721
17,11,2009,2.44644724
18,11,2009,2.46091692
19,11,2009,1.71366428
20,11,2009,2.39484619
21,11,2009,2.45628668
22,11,2009,2.44053725
23,11,2009,2.51814762
24,11,2009,2.51431904
25,11,2009,2.54605665
26,11,2009,2.54806618
27,11,2009,2.58929578
28,11,2009,2.58910016
29,11,2009,2.63953101
30,11,2009,2.63409714
1,12,2009,2.66215248
2,12,2009,1.7311193
3,12,2009,1.66895955
4,12,2009,2.42071046
5,12,2009,2.48915482
6,12,2009,2.55620524
7,12,2009,2.60256375
8,12,2009,2.07406143
9,12,2009,1.55877057
10,12,2009,1.88851145
11,12,2009,1.9778861
12,12,2009,2.05463638
13,12,2009,1.57868681
14,12,2009,1.89701736
15,12,2009,2.07319
16,12,2009,2.1307827
17,12,2009,2.17108729
18,12,2009,2.21811041
19,12,2009,2.23114353
20,12,2009,2.26588404
21,12,2009,2.24122807
22,12,2009,2.25090128
23,12,2009,2.28072358
24,12,2009,2.34341418
25,12,2009,2.29277359
26,12,2009,1.5898927
27,12,2009,1.6842662
28,12,2009,2.12154754
29,12,2009,2.26395644
30,12,2009,2.37078702
31,12,2009,2.40574255
1,1,2010,2.15651606
2,1,2010,2.44186121
3,1,2010,2.49439956
4,1,2010,2.51816288
5,1,2010,2.55601141
6,1,2010,2.56646752
7,1,2010,2.57872468
8,1,2010,2.58230886
9,1,2010,2.60150604
10,1,2010,2.63487332
11,1,2010,2.68156656
12,1,2010,2.70459996
13,1,2010,2.73966007
14,1,2010,2.75661289
15,1,2010,2.77350113
16,1,2010,2.79175321
17,1,2010,1.87096588
18,1,2010,2.6609933
19,1,2010,2.28326737
20,1,2010,2.68809389
21,1,2010,2.75637155
22,1,2010,2.72953148
23,1,2010,2.79217157
24,1,2010,2.11927461
25,1,2010,1.64860217
26,1,2010,2.29667381
27,1,2010,2.38815872
28,1,2010,2.4646151
29,1,2010,2.5177572
30,1,2010,2.5587495
31,1,2010,2.60041815
1,2,2010,2.63634506
2,2,2010,2.63908737
3,2,2010,2.67230775
4,2,2010,2.67865036
5,2,2010,2.68642338
6,2,2010,2.67541059
7,2,2010,2.68802287
8,2,2010,2.6977689
9,2,2010,2.73546259
10,2,2010,2.75712542
11,2,2010,2.78953624
12,2,2010,2.79336085
13,2,2010,2.81574557
14,2,2010,2.81938952
15,2,2010,2.83418475
16,2,2010,2.8334569
17,2,2010,2.83602924
18,2,2010,2.83822125
19,2,2010,2.84933095
20,2,2010,2.85003726
21,2,2010,2.84935799
22,2,2010,2.84347104
23,2,2010,2.8415975
24,2,2010,2.83899599
25,2,2010,2.84425202
26,2,2010,2.82933
27,2,2010,2.8255497
28,2,2010,2.8204982
1,3,2010,2.8290025
2,3,2010,2.77641674
3,3,2010,2.81583111
4,3,2010,2.80500426
5,3,2010,2.79710891
6,3,2010,2.79658309
7,3,2010,2.78268623
8,3,2010,2.7670977
9,3,2010,2.76939362
10,3,2010,2.76923335
11,3,2010,2.75552727
12,3,2010,1.97413986
13,3,2010,1.67210377
14,3,2010,2.21843226
15,3,2010,2.38806343
16,3,2010,2.53520146
17,3,2010,2.60729713
18,3,2010,2.64673574
19,3,2010,2.65804958
20,3,2010,2.67462113
21,3,2010,2.65236085
22,3,2010,2.13919467
23,3,2010,2.62749715
24,3,2010,2.61962926
25,3,2010,2.57399786
26,3,2010,2.06154148
27,3,2010,2.5569676
28,3,2010,1.91566978
29,3,2010,2.39446075
30,3,2010,1.99369442
31,3,2010,2.46511949
1,4,2010,2.50670618
2,4,2010,2.54176085
3,4,2010,2.54415546
4,4,2010,2.57066838
5,4,2010,2.56431314
6,4,2010,2.57704114
7,4,2010,2.56724553
8,4,2010,1.93802122
9,4,2010,2.52193892
10,4,2010,2.53941549
11,4,2010,2.50629839
12,4,2010,2.55596612
13,4,2010,2.52835742
14,4,2010,2.54522445
15,4,2010,2.54799229
16,4,2010,2.53993182
17,4,2010,2.53600926
18,4,2010,2.53132389
19,4,2010,2.52576801
20,4,2010,2.52614719
21,4,2010,2.31200736
22,4,2010,2.50496146
23,4,2010,2.50303273
24,4,2010,2.50100348
25,4,2010,1.65844004
26,4,2010,1.71785143
27,4,2010,2.06354404
28,4,2010,2.09796297
29,4,2010,2.21016049
30,4,2010,2.23227931
1,5,2010,2.29721476
2,5,2010,2.29591083
3,5,2010,2.0437837
4,5,2010,2.2797553
5,5,2010,2.29025146
6,5,2010,2.29432356
7,5,2010,2.26881059
8,5,2010,2.27229371
9,5,2010,2.28699267
10,5,2010,2.34635093
11,5,2010,2.07614318
12,5,2010,1.69585278
13,5,2010,2.34689355
14,5,2010,2.28049996
15,5,2010,2.36562435
16,5,2010,2.38646232
17,5,2010,2.37408113
18,5,2010,2.28666656
19,5,2010,2.38795719
20,5,2010,2.39522961
21,5,2010,2.38027688
22,5,2010,2.38563841
23,5,2010,2.3276205
24,5,2010,2.38482789
25,5,2010,2.37710503
26,5,2010,2.3710017
27,5,2010,1.56658927
28,5,2010,2.34560553
29,5,2010,2.36752751
30,5,2010,2.36497958
31,5,2010,2.34051459
1,6,2010,2.34188421
2,6,2010,2.30595682
3,6,2010,2.32066076
4,6,2010,2.28283413
5,6,2010,2.33725233
6,6,2010,2.30995621
7,6,2010,2.27625371
8,6,2010,2.28866644
9,6,2010,2.27525734
10,6,2010,2.29465914
11,6,2010,2.25141928
12,6,2010,2.27257937
13,6,2010,2.04753381
14,6,2010,2.28604286
15,6,2010,1.9979743
16,6,2010,2.31739308
17,6,2010,1.98175574
18,6,2010,1.96990161
19,6,2010,1.77779083
20,6,2010,1.84075888
21,6,2010,1.61480719
22,6,2010,1.7145104
23,6,2010,1.54685363
24,6,2010,1.74904294
