(Intercept),logN
-2.267469499,-0.605113567
-2.382370717,-0.543470161
-2.401489533,-0.525659962
-2.593983401,-0.433775976
-2.797475389,-0.346208237
-1.451507717,-0.918327719
-2.346112875,-0.528786747
-2.186551723,-0.595484641
-2.626605306,-0.401995603
-2.89773897,-0.287493007
-2.339572893,-0.519471711
-1.975337055,-0.680843518
-2.170170388,-0.590079261
-2.247748306,-0.551774034
-1.940026069,-0.689064937
-2.592113273,-0.399274821
-2.111046616,-0.60831303
-2.390830906,-0.480826196
-1.947355247,-0.679804522
-2.26091954,-0.536127136
-1.93851657,-0.675362951
-1.942102567,-0.67740018
-2.189001148,-0.564620593
-1.888977499,-0.699367094
-1.998842538,-0.647001545
-2.238273549,-0.537821642
-2.304460013,-0.507670436
-2.337683946,-0.492997265
-2.365848755,-0.480110193
-2.138085302,-0.577246931
-2.361377059,-0.480181015
-2.067153546,-0.609752812
-2.529370225,-0.405563322
-2.008171952,-0.634457576
-2.231883614,-0.533108955
-2.223711838,-0.535946636
-2.290892522,-0.504223886
-2.179241935,-0.553710308
-2.030590747,-0.616459583
-2.541566209,-0.396217174
-2.5318113,-0.399477202
-2.295872403,-0.499610894
-2.014372257,-0.624342282
-2.395081809,-0.455548893
-2.478931043,-0.418072869
-2.215404894,-0.531827558
-2.11117687,-0.577727121
-2.09151185,-0.583334218
-2.15343177,-0.556061594
-2.235516472,-0.520370158
-2.499012492,-0.406851012
-1.969208601,-0.637807622
-1.962725053,-0.638249492
-2.103433436,-0.575818356
-2.010016938,-0.617052005
-2.184618212,-0.537752932
-2.073908651,-0.587083265
-2.107018825,-0.572346579
-1.731335315,-0.73320852
-2.038820871,-0.601296183
-2.153140215,-0.549890661
-1.937593505,-0.646060208
-2.224559806,-0.517220316
-2.083027957,-0.578974814
-2.045970847,-0.595145443
-2.156651856,-0.54502979
-2.561668627,-0.371525091
-2.310208346,-0.477176203
-2.233069124,-0.509238558
-2.125963056,-0.556726348
-2.384724359,-0.441685655
-2.071517007,-0.579829375
-2.115808747,-0.558394217
-2.348774629,-0.456578628
-2.234964533,-0.505599076
-2.135747919,-0.548723953
-2.214625719,-0.513502773
-2.441703799,-0.413420043
-2.200329357,-0.518639891
-2.165623766,-0.531020653
-2.249503999,-0.495685248
-2.126605571,-0.54949525
-2.155442825,-0.536068561
-2.18915408,-0.519541795
-2.118565144,-0.550643533
-2.204371602,-0.51275356
-2.343825904,-0.451729817
-2.119720047,-0.546883339
-2.037032926,-0.585399909
-2.040612392,-0.583247492
-2.219734838,-0.503422593
-2.202715393,-0.510319656
-2.208903194,-0.506729673
-2.033692855,-0.583962677
-2.21722895,-0.502337508
-2.144170444,-0.533602039
-2.145949086,-0.531899465
-1.97174055,-0.609021105
-2.24691836,-0.486489921
-2.153497077,-0.525700468
-1.965783932,-0.610202109
-2.042494413,-0.575677137
-2.145653576,-0.529177157
-2.086150271,-0.553809872
-2.053201169,-0.5688012
-1.969295495,-0.606023826
-1.925253713,-0.624218807
-2.067526479,-0.560909882
-2.102165894,-0.544467981
-2.221087163,-0.489972644
-2.153163194,-0.52135045
-2.09107195,-0.548166395
-2.098066863,-0.543523403
-2.034052504,-0.572358564
-2.107525883,-0.538968727
-2.208041741,-0.49392758
-2.053508989,-0.561970032
-2.222277014,-0.486999713
-1.959396403,-0.602437926
-2.416000284,-0.402882474
-1.854890826,-0.649271781
-2.203422958,-0.493131052
-2.278402514,-0.460130195
-1.863378549,-0.641949868
-2.346715859,-0.42956535
-2.00054052,-0.579319061
-2.004228262,-0.577173642
-2.22455465,-0.480528878
-2.012511729,-0.573187855
-2.13696853,-0.517477893
-2.118930722,-0.524752099
-1.986667733,-0.58276964
-2.187525523,-0.493485015
-1.996062875,-0.576636824
-2.060808733,-0.547326601
-1.847707133,-0.639097863
-1.444164622,-0.822222703
-2.169655179,-0.497775595
-1.84470943,-0.640575203
-1.929093692,-0.602877786
-2.005684334,-0.568461796
-2.118146391,-0.51765075
-2.135579501,-0.509539386
-1.969992894,-0.582024307
-2.059701865,-0.540256316
-2.120449037,-0.514165901
-2.001243581,-0.563894473
-2.000732305,-0.565694192
-2.03198164,-0.550524669
-2.442264899,-0.374232398
-2.351645491,-0.411739352
-2.264516324,-0.447871358
-1.85658465,-0.627406155
-1.805333336,-0.648573782
-2.052454639,-0.537650628
-1.613213201,-0.736772262
-2.21089026,-0.466182795
-2.167030381,-0.484737368
-2.269926493,-0.440322374
-1.978476012,-0.566587164
-1.840337614,-0.62837825
-2.285772026,-0.431087902
-2.12465206,-0.499540068
-2.127650262,-0.497281227
-1.858473462,-0.615949849
-1.854187859,-0.616832486
-2.056981349,-0.52482257
-2.294488763,-0.421581859
-2.019382017,-0.538594676
-2.416999473,-0.366290652
-2.224600399,-0.44622132
-2.097207491,-0.500086446
-1.977939235,-0.550809603
-2.066307243,-0.511275134
-2.28751588,-0.413822479
-2.082792514,-0.501291297
-2.216163036,-0.443079203
-2.071068318,-0.503268174
-2.262416281,-0.419990862
-2.027428877,-0.520743278
-2.078448596,-0.497060388
-2.023351235,-0.519814155
-2.189155415,-0.446996809
-1.773962489,-0.628848037
-2.164053161,-0.454327651
-1.993296889,-0.527218699
-2.028318558,-0.509767296
-2.137828323,-0.461258837
-2.115821894,-0.468871905
-1.966185815,-0.530622122
-1.976179142,-0.525046657
-1.877701793,-0.566317488
-2.222911617,-0.41412007
-2.210717607,-0.416608729
-2.319821054,-0.366977767
-2.253926823,-0.391637142
-2.171081405,-0.421521184
-1.947696529,-0.510295819
-1.914611912,-0.518033017
-2.083841307,-0.431175411